offer_id,category,name,errors
3125546219,Велосипедные камеры и ободные ленты (122203),Велосипедна камера Continental ContiTube Tour 28 (700C) All A40,Отсутствуют параметры.
3125559990,Велосипедные камеры и ободные ленты (122203),Велокамера Continental ContiTube Tour 28 (700C) All Presta 42 мм Continental,Отсутствуют параметры.
3125560385,Женские колготы и чулки (304),"Колготки Kate Legwear Tights Satin Shine 15 DEN, 2 пары, черные, размер S (36-38) Kate Legwear",Тег «vendor» обязательный!
3125562948,Полимерная глина (152508),"Полимерная глина DecoTime 6x20 г, монохромный набор сине-фиолетовых оттенков + 1 блок с глиттером DecoTime",Отсутствуют параметры.; Тег «vendor» обязательный!
3125598144,Свечи (150404),"Свечи столовые AVEC Cherry, набор 2 шт, 25 x &Oslash; 2,2 см AVEC",Тег «vendor» обязательный!
3127875130,Грим и косметика для спецэффектов (161608),Набор грима вампира с клыками Fun World,Отсутствуют параметры.; Тег «vendor» обязательный!
3128082098,Свечи (150404),Ароматическая свеча в матовом стекле с крышкой Dream + Inspire Chesapeake Bay Candle,Отсутствуют параметры.; Тег «vendor» обязательный!
3128638633,Свечи (150404),"Свечи столовые Daisy, набор 2 шт. Avec",Отсутствуют параметры.; Тег «vendor» обязательный!
3128668964,Свечи (150404),Набор столовых свечей 3 шт,Отсутствуют параметры.; Тег «vendor» обязательный!
3128672292,Тарелки и пиалы (152201),Винтажная керамическая тарелка-блеска в виде кексика,Тег «vendor» обязательный!
3128726292,Свечи (150404),"Ароматическая свеча TreeWick Musk, Santal &amp; Magnolia Birch TreeWick",Отсутствуют параметры.; Тег «vendor» обязательный!
3129092796,"Шнуры, переходники (14190409)","Кабель питания с вилкой PRO-MAX 2,5 м H05VV-F 3x1,5 мм2 белый PRO-MAX",Отсутствуют параметры.; Тег «vendor» обязательный!
3129720666,Тарелки и пиалы (152201),Керамическая десертная тарелка в форме кекса (капейка) с ручной росписью.,Тег «vendor» обязательный!
3129730108,Емкости для хранения пищевых продуктов (150204),"Набор стеклянных банок для хранения, 2 шт. Home Centre",Тег «vendor» обязательный!
3129739063,Подставки для канцелярских принадлежностей (212102),Настольный органайзер с 2 выдвижными ящиками RISEMART,Тег «vendor» обязательный!
3129760765,Подставки для канцелярских принадлежностей (212102),Настольный органайзер с 2-мя выдвижными ящиками,Тег «vendor» обязательный!
3129761077,Пледы и покрывала (40501),Плед Brooke 130x170 см розовый,Тег «vendor» обязательный!
3129761564,Бутылки для напитков и воды (152221),Стеклянная бутылка для воды с бамбуковой крышкой,Тег «vendor» обязательный!
3130749139,Велосипедные фонари и отражатели (342402),"Набор светодиодных клипс фонариков Walfos, 6 шт Walfos",Отсутствуют параметры.; Тег «vendor» обязательный!
3130777878,Миски (152202),Набор мисок для закусок Snack Bowl Snack Bowl,Тег «vendor» обязательный!
3131117156,Миски (152202),Меланиновая миска с принтом тигра &quot;Feel the Summer&quot; None,Отсутствуют параметры.; Тег «vendor» обязательный!
3136122266,Ящики и корзины для хранения (154103),Подвесная корзина под полку металлическая,Тег «vendor» обязательный!
3136244830,Подставки и опоры для растений (371016),"Опори для рослин Garden Touch 40 см, 50 шт Garden Touch",Тег «vendor» обязательный!
3136343922,Солнцезащитные очки (33902),Солнцезащитные очки зеленые прямоугольные,Тег «vendor» обязательный!
3136343923,Музыкальные игрушки (2635),Музична шкатулка-карусель &laquo;Ракета&raquo; Home Accents Decorations,Отсутствуют параметры.; Тег «vendor» обязательный!
3136343924,Наборы столовых приборов (152206),"Набор столовых вилок с блестящими ручками, 4 шт Home Choice",Тег «vendor» обязательный!
3137480984,Одноразовая посуда (150201),"Бумажные подставки под напитки круглые 107 мм, 50 шт",Тег «vendor» обязательный!
3137480985,Стаканы (152104),Набір склянок для віскі 3 шт 260 мл,Тег «vendor» обязательный!
3137498533,Копилки (1736),Керамічна скарбничка &laquo;Космонавт / ракета&raquo; Servi Consumer,Тег «vendor» обязательный!
3137498534,Подсвечники (1706),Светодиодная мемориальная свеча для улицы,Отсутствуют параметры.; Тег «vendor» обязательный!
3137498535,Органайзеры для хранения вещей (154102),"Настольный органайзер Avec, 3-х секционный Avec",Тег «vendor» обязательный!
3137702772,Пазлы и головоломки (180613),"Пазл напольный Toy Universe &laquo;Дорога&raquo;, 24 элемента Toy Universe",Тег «vendor» обязательный!
3137702774,Текстильные аксессуары (32809),"Набор плоских эластичных лент для шитья Crelando, 4 шт Crelando",Тег «vendor» обязательный!
3137702775,Воздушные шары и композиции из них (1742),Фольгированная воздушный шар для дня рождения LIVARNO home &laquo;Hooray it's your birthday!&raquo; LIVARNO home,Тег «vendor» обязательный!
3138625817,Стаканы (152104),"Набір склянок для лонгдрінків SilverCrest, 4 шт 320 мл SilverCrest",Тег «vendor» обязательный!
3138625821,Ручные и налобные фонари (150410),Мини аккумуляторный ручной фонарь PARKSIDE PHAM 450 A1 PARKSIDE,Отсутствуют параметры.
3138625822,Шплинты (420514),Набор шпинтов PARKSIDE 420 шт PARKSIDE,Отсутствуют параметры.
3138625824,Электрические удлинители (513),Удлинитель CEE для кемпинга SilverCrest 10 м IP44 16A 230V SilverCrest,Отсутствуют параметры.; Тег «vendor» обязательный!
3138625825,Бумага цветная и картон (15011905),Блок цветного картона Crelando 25 листов 24x34 см 270 г/м2 Crelando,Отсутствуют параметры.
3138625832,Надувные матрасы (2010),Надувной матрас для плавания и загара CRIVIT Basic 174&times;59&times;18 см розовый CRIVIT,Тег «vendor» обязательный!
3138858090,Ручные плиткорезы (14201636),Ручной плиткорез PARKSIDE 400 мм PARKSIDE,Отсутствуют параметры.
3138858091,Теплицы и комплектующие к ним (311703),Мини-теплица с органическими семенами для выращивания трав Parkside Parkside,Тег «vendor» обязательный!
3138858092,Швабры и запасные насадки (151408),Плоская швабра с одноразовыми салфетками W5 W5,Тег «vendor» обязательный!
3138858093,Садовые сетки (800507),Сетка ограждение PARKSIDE с ПВХ покрытием 10 м &times; 52 см PARKSIDE,Тег «vendor» обязательный!
3138858094,Решетки для гриля и барбекю (152302),Кругла решітка для барбекю Grill Meister 44 см Grill Meister,Тег «vendor» обязательный!
3138858095,Подставки для кухонных и столовых принадлежностей (15230447),Лоток для столових приборів LIVARNO home LIVARNO home,Тег «vendor» обязательный!
3138858097,"Термоизоляционные настилы, агроволокно (12514)",Агротканина проти бур'янів PARKSIDE 10 x 1 м PARKSIDE,Тег «vendor» обязательный!
3138858098,Держатели полотенец (130122),"Крючки для радиатора Livarno Home, 4 шт. Livarno Home",Тег «vendor» обязательный!
3138858099,Теплицы и комплектующие к ним (311703),Міні-теплиця садова в пластиковій плівці PARKSIDE 120&times;60&times;60 см PARKSIDE,Тег «vendor» обязательный!
3138858100,"Садовые арки, шпалеры и декоративные заборы (1252403)","Садовые колышки для фиксации PARKSIDE Garden Pegs, 75 шт PARKSIDE",Отсутствуют параметры.
3138858101,"Креманки, соусницы, лимонницы (152210)","Набор соусниц и тарелки для сервировки Livarno Home, 6 предметов Livarno Home",Тег «vendor» обязательный!
3138858102,Электрические удлинители (513),Сетевой фильтр SilverCrest алюминиевый на 6 розеток SilverCrest,Отсутствуют параметры.; Тег «vendor» обязательный!
3139680792,Оборудование автоматического полива (12502),Програматор поливу PARKSIDE PBCG B2 PARKSIDE,Отсутствуют параметры.; Тег «vendor» обязательный!
3139680793,Термосы и термокружки (1531),Термос-пляшка SilverCrest Insulated Bottle 500 мл SilverCrest,Тег «vendor» обязательный!
3139680796,Потолочные светильники (15040605),"Потолочный LED светильник LIVARNO home, 3 плафона, матовый никель LIVARNO home",Тег «vendor» обязательный!
3139680797,Напольные весы (154004),Умные напольные весы Silvergear Smart Scale with Body Analysis App Silvergear,Тег «vendor» обязательный!
3139680800,Тряпки и салфетки для уборки (151403),"Влажные одноразовые салфетки для мытья твердых полов W5, 60 шт W5",Тег «vendor» обязательный!
3139926927,Емкости для хранения пищевых продуктов (150204),"Набор контейнеров для хранения еды ERNESTO Basic, 5 шт",Тег «vendor» обязательный!
3139926928,Емкости для хранения пищевых продуктов (150204),"Набор контейнеров для хранения еды ERNESTO BASIC, 5 шт ERNESTO",Тег «vendor» обязательный!
3139926929,Емкости для хранения пищевых продуктов (150204),"Набор контейнеров для хранения еды SilverCrest, 3 шт SilverCrest",Тег «vendor» обязательный!
3139926930,Посуда для духовых и микроволновых печей (150202),Пароварка для микроволновой печи Ernesto 1450 мл Ernesto,Тег «vendor» обязательный!
3139926931,"Веники, метлы, совки (151401)",Набор для уборки Livarno Home: совок и щетка Livarno Home,Тег «vendor» обязательный!
3139926932,Формы для выпечки (15230414),Силиконовая форма для выпечки елка SilverCrest Christmas Silicone Baking Mould SilverCrest,Тег «vendor» обязательный!
3139926936,"Холсты, полотна (21111106)","Набор полотен для рисования на подрамнике Crelando, 3 шт Crelando",Тег «vendor» обязательный!
3139926938,Кухонные доски (15230405),Разделочная доска SilverCrest 25&times;15 см SilverCrest,Тег «vendor» обязательный!
3140083798,Емкости для хранения пищевых продуктов (150204),"Набор контейнеров для нарезки и сыра SilverCrest, 4 шт. SilverCrest",Тег «vendor» обязательный!
3140083799,Наборы инструментов (142004),Набор винтов с внутренним шестигранником PARKSIDE 100 шт PARKSIDE,Категория находится в списке стоп-категорий.; Отсутствуют параметры.
3140083800,Развивающие и обучающие игрушки (2602),Деревянная развивающая игрушка-сортер &laquo;Животные&raquo; Play tive,Тег «vendor» обязательный!
3140083801,Кухонные доски (15230405),"Набор разделочных досок Livarno Home Basic, 2 шт Livarno Home",Тег «vendor» обязательный!
3140083802,Клеевые электрические пистолеты (141726),Пистолет для герметика закрытого типа PARKSIDE PARKSIDE,Отсутствуют параметры.
3140083803,Ручные массажеры для тела (162209),Массажер для тела и лица Avon 5277972 AVON,Отсутствуют параметры.
3140083805,Потолочные светильники (15040605),Светодиодный потолочный светильник для ванной комнаты LIVARNO LIVARNO,Тег «vendor» обязательный!
3140083806,Кухонные доски (15230405),"Набор сервировочных досок Ernesto, 2 шт, 32 x 22 см Ernesto",Тег «vendor» обязательный!
3140083807,Автомобильные диагностические сканеры (12110611),Автомобильный диагностический сканер Ultimate Speed OBDII USOBD A1 Ultimate Speed,Отсутствуют параметры.
3140083808,"Сковородки, сотейники, жаровни (15230304)",Сковорода гриль из литого алюминия SilverCrest 27.3 &times; 27.3 см SilverCrest,Тег «vendor» обязательный!
3140802778,Клеевые стержни (14201523),Клеевые стержни для термопистолета с глиттером Parkside Parkside,Отсутствуют параметры.
3140802779,"Измерительные линейки, угольники (14201632)",Контурный шаблон PARKSIDE Profile Gauge PARKSIDE,Отсутствуют параметры.
3140802780,Наборы инструментов (142004),"Набор щипцов для пробивания отверстий, люверсов и кнопок PARKSIDE 128 предметов PARKSIDE",Категория находится в списке стоп-категорий.; Отсутствуют параметры.
3140901623,Автомобильные ремни и подушки безопасности (341547),"Дверная цепочка безопасности ALFA SIDE, комплект 2 шт ALFA SIDE",Отсутствуют параметры.
3140901624,Кухонные доски (15230405),"Разделочная доска LIVARNO home BASIC 36,5 x 27,5 см LIVARNO home",Тег «vendor» обязательный!
3140901626,Прищепки (151607),"Прищепки для белья W5, 100 шт W5",Отсутствуют параметры.; Тег «vendor» обязательный!
3140901627,Электрочайники (640),Бамбукова чайна коробка SilverCrest SilverCrest,Отсутствуют параметры.; Тег «vendor» обязательный!
3140901628,Туристические плиты и горелки (13240602),Газовая туристическая горелка CRIVIT Gas-Campingkocher CRIVIT,Отсутствуют параметры.; Тег «vendor» обязательный!
3140901630,"Холсты, полотна (21111106)","Набор полотен для рисования Crelando, 2 шт Crelando",Тег «vendor» обязательный!
3140901631,Подставки и опоры для растений (371016),Подставка на колесах для растений PARKSIDE,Тег «vendor» обязательный!
3140901632,Подставки и опоры для растений (371016),Подставка на колесах для растений PARKSIDE PARKSIDE,Отсутствуют параметры.; Тег «vendor» обязательный!
3140971474,Приборы для укладки волос (63303),Щетка-выпрямитель для волос Rita Ora RHC 29 2-в-1 Rita Ora,Тег «vendor» обязательный!
3140971476,Тряпки и салфетки для уборки (151403),Одноразовые сухие салфетки для уборки пола W5 100 шт W5,Тег «vendor» обязательный!
3140971477,Формы для выпечки (15230414),"Набор форм для запекания SilverCrest Stoneware Oven Dish Set 2x 0,65 л SilverCrest",Тег «vendor» обязательный!
3140971478,Наборы и принадлежности для гриля и тандыра (15230313),Щетка для чистки гриля Grill Meister,Отсутствуют параметры.
3140971479,Оборудование и аксессуары для бассейнов (180803),Накрытие для бассейна LIVARNO home 300 x 207 см LIVARNO home,Отсутствуют параметры.; Тег «vendor» обязательный!
3140971480,Шкатулки для часов (36110730),Шкатулка для хранения часов AURIOL на 6 отделений AURIOL,Тег «vendor» обязательный!
3140971482,Эспандеры (200314),"Набор багажных эластичных стяжек Ultimate Speed Bungee Cord Set, 6 шт Ultimate Speed",Отсутствуют параметры.; Тег «vendor» обязательный!
3140971483,Игрушки для домашних животных (270202),Игрушка для собак Zoofari канатная веревка с узлами для чистки зубов Zoofari,Отсутствуют параметры.
3142538048,Шланги для душа (13240223),"Гибкий шланг для душа, растягивающийся LIVARNO черный Livarno",Отсутствуют параметры.
3142538049,Шланги для душа (13240223),Растягивающийся шланг для душа LIVARNO (хром) Livarno,Отсутствуют параметры.; Тег «vendor» обязательный!
3142538050,Зеркала (1534),"Настенное дизайнерское зеркало Boucl&eacute; Arch в текстильной раме BA-58, белое",Тег «vendor» обязательный!
3142538053,Декоративная посуда (131404),"Декоративная тарелка Livarno Home 1248-SB, черная Livarno",Тег «vendor» обязательный!
3142538054,Кухонные ножи и подставки (15230410),"Набор кухонных ножей для хлеба, овощей и фруктов, 6 шт. LL-06",Тег «vendor» обязательный!
3142538056,"Сверла, буры (14201607)","Комплект свёрл по металлу PARKSIDE, 7 шт. Parkside",Отсутствуют параметры.
3142992885,Автомобильные универсальные смазки (341019),Силиконовый спрей Parkside 300 мл Parkside,Отсутствуют параметры.
3142992887,"Пассатижи, плоскогубцы, тонкогубцы (14200341)",Длинногубцы (тонкогубцы) Parkside 180 мм Parkside,Отсутствуют параметры.
3142992889,"Бокорезы, кусачки (14200340)",Бокорезы Parkside (160 мм) Parkside,Отсутствуют параметры.
3142992890,Револьверные дыроколы (14200388),"Дырокол для кожи, пробойник для ремня, просекатель 220 мм Parkside Parkside",Отсутствуют параметры.
3142992891,Съемники изоляции (14200355),Изолированные клещи PARKSIDE VDE для снятия изоляции 160 мм PARKSIDE,Отсутствуют параметры.
3143113152,Малярные кисти (14201625),Набор кистей для покраски Parkside (10 предметов) Parkside,Отсутствуют параметры.
3143113153,Электрические грелки (162512),Резиновая грелка Sensiplast в чехле 330&times;200 Sensiplast,Отсутствуют параметры.
3143113157,Герметики и силиконы (82210),Многофункциональный шпатель Parkside из нержавеющей стали 75 мм Parkside,Отсутствуют параметры.
3143113158,Карабины (203532),Остроконечное долото PARKSIDE 25 см SDS+ Parkside,Отсутствуют параметры.
3143113159,Гвозди (420503),Средство для удаления силиконового герметика Parkside 250 мл Parkside,Отсутствуют параметры.
3143113162,"Уплотнители для окон, дверей (15380327)","Портативный беспроводной аккумуляторный компрессор для авто, мотоцикла, ATV и велосипеда",Отсутствуют параметры.; Тег «vendor» обязательный!
3143113163,"Уплотнители для окон, дверей (15380327)","Смеситель для краски и штукатурки 100 мм, до 20 кг Parkside 380864, серебристый Parkside",Отсутствуют параметры.
3143859998,Функциональная и декоративная пленка (1343),"Набор защитных плёнок Parkside, 6 предметов Parkside",Отсутствуют параметры.
3143860000,Карабины (203532),"Набор карабинов-скоб D-образных Parkside, 4 шт, до 200 кг Parkside",Отсутствуют параметры.
3143860001,Гвозди (420503),"Набор гвоздей Parkside HG06116D, 457 шт, ассорти Parkside",Отсутствуют параметры.
3143860006,Раскраски (15011805),"Раскраска Crelando HG11370D &laquo;Магический мир сказок&raquo;, 80 рисунков Crelando",Тег «vendor» обязательный!
3143860007,Раскраски (15011805),"Раскраска Crelando HG11370E &laquo;Осознанность и релаксация&raquo;, 80 рисунков Crelando",Тег «vendor» обязательный!
3143860008,Раскраски (15011805),"Раскраска Crelando HG11370C &laquo;Снежные цветы&raquo;, 80 рисунков Crelando",Тег «vendor» обязательный!
3143860009,Раскраски (15011805),"Раскраска Crelando HG11370B &laquo;Моё волшебное путешествие&raquo;, 80 рисунков Crelando",Тег «vendor» обязательный!
3144405548,Фитинги и краны для поливочных систем (1250346),"Набор коннекторов для полива с распылителем Parkside, 4 предмета Parkside",Отсутствуют параметры.
3144405549,"Мотыги, тяпки, сапки (1250307)","Садовый инструмент Parkside EcoLine &mdash; двусторонняя сапа, Германия Parkside",Отсутствуют параметры.
3144405551,Отверточные биты (141702),"Набор Parkside: удлинитель бит, квадратный адаптер, биты для гипсокартона и ограничители глубины Parkside",Отсутствуют параметры.
3144405553,Контейнеры для таблеток (161314),"Органайзер-таблетница Lidl на 7 дней, комбинированная Lidl",Отсутствуют параметры.
3144405560,Органайзеры для хранения вещей (154102),"Органайзер для ящика Livarno Home, 16 отделений, складной Livarno Home",Отсутствуют параметры.
3144405562,Губки для посуды (151409),"Губка Scrub Mommy Essentials, компактная двухсторонняя губка для мытья посуды Scrub Daddy",Отсутствуют параметры.
3144405563,Шнурки для обуви (580303),"Круглые вощёные шнурки из хлопка 75 см, 4 пары (2 чёрные + 2 коричневые), Gipo Gipo",Тег «vendor» обязательный!
3144405564,Оборудование автоматического полива (12502),"Набор для управления поливом PARKSIDE, модульная система 13-15 мм Parkside",Отсутствуют параметры.
3144405566,Реставрационные материалы для мебели (15030618),"Мебельные накладки войлочные Parkside HG 09962 E, набор 28 шт с гвоздём и сверлом Parkside",Отсутствуют параметры.
3144405572,Косметические кисти и аппликаторы (331202),"Набор мини-кистей для макияжа Cien Beauty, 6 шт в футляре Cien Beauty",Отсутствуют параметры.
3144405574,Малярные кисти (14201625),Малярные кисти Parkside 3 шт (30/50/60 мм) Parkside,Отсутствуют параметры.
3144405576,Медицинские пластыри (16131305),Набор гидроколлоидных пластырей Sensiplast для ссадин и царапин (11 шт) Sensiplast,Отсутствуют параметры.
3144405577,Дождевики (33915),"Дождевик-пончо унисекс прозрачный, размер универсальный",Отсутствуют параметры.; Тег «vendor» обязательный!
3144405578,Дождевики (33915),"Дождевик-пончо Lidl складной, водонепроницаемый Lidl",Отсутствуют параметры.
3144405581,Держатели полотенец (130122),"Навесные держатели для кухонных полотенец W5, 2 шт",Отсутствуют параметры.
3144405583,Средства для гигиены животных (2703),Гигиенические пакеты для уборки за собакой Karlie Karlie,Отсутствуют параметры.
3144405585,Игрушки для домашних животных (270202),"Игрушка Zoofari Рыбка с канатом, жевательная, для чистки зубов Zoofari",Отсутствуют параметры.
